time,force,tip,base,indentation,R,A,k,Q,f,approach_vel,Ee,E_arms,T_arms
0.009125,-7.892859308110478e-10,-1.4644559351824541e-08,-1.424999999989664e-08,1.4644559351824541e-08,,,,,,,,,
0.009130000000000001,-7.889878618657029e-10,-1.4654410317550238e-08,-1.425999999989652e-08,1.4654410317550238e-08,,,,,,,,,
0.009135,-7.886897461128304e-10,-1.4664261259872155e-08,-1.4269999999896399e-08,1.4664261259872155e-08,,,,,,,,,
0.00914,-7.883915835544758e-10,-1.4674112178791301e-08,-1.4279999999896278e-08,1.4674112178791301e-08,,,,,,,,,
0.009145,-7.880933741926057e-10,-1.4683963074308727e-08,-1.4289999999896157e-08,1.4683963074308727e-08,,,,,,,,,
0.00915,-7.877951180294023e-10,-1.4693813946425407e-08,-1.4299999999896036e-08,1.4693813946425407e-08,,,,,,,,,
0.009155,-7.874968150667704e-10,-1.4703664795142446e-08,-1.4309999999895915e-08,1.4703664795142446e-08,,,,,,,,,
0.00916,-7.871984653069898e-10,-1.4713515620460799e-08,-1.4319999999895794e-08,1.4713515620460799e-08,,,,,,,,,
0.009165,-7.869000687519175e-10,-1.4723366422381621e-08,-1.4329999999895673e-08,1.4723366422381621e-08,,,,,,,,,
0.00917,-7.866016254039413e-10,-1.4733217200905844e-08,-1.4339999999895552e-08,1.4733217200905844e-08,,,,,,,,,
0.009175,-7.863031352649121e-10,-1.4743067956034653e-08,-1.434999999989543e-08,1.4743067956034653e-08,,,,,,,,,
0.00918,-7.860045983371911e-10,-1.4752918687769015e-08,-1.435999999989531e-08,1.4752918687769015e-08,,,,,,,,,
0.009185,-7.857060146227836e-10,-1.4762769396110075e-08,-1.4369999999895189e-08,1.4762769396110075e-08,,,,,,,,,
0.00919,-7.854073841239231e-10,-1.4772620081058882e-08,-1.4379999999895068e-08,1.4772620081058882e-08,,,,,,,,,
0.009195,-7.851087068427884e-10,-1.4782470742616528e-08,-1.4389999999894947e-08,1.4782470742616528e-08,,,,,,,,,
0.0092,-7.84809982781512e-10,-1.4792321380784134e-08,-1.4399999999894826e-08,1.4792321380784134e-08,,,,,,,,,
0.009205,-7.845112119424161e-10,-1.4802171995562753e-08,-1.4409999999894705e-08,1.4802171995562753e-08,,,,,,,,,
0.00921,-7.842123943275579e-10,-1.4812022586953565e-08,-1.4419999999894584e-08,1.4812022586953565e-08,,,,,,,,,
0.009215000000000001,-7.839135299393778e-10,-1.4821873154957595e-08,-1.4429999999894463e-08,1.4821873154957595e-08,,,,,,,,,
0.00922,-7.836146187798514e-10,-1.4831723699576086e-08,-1.4439999999894342e-08,1.4831723699576086e-08,,,,,,,,,
0.009225,-7.833156608515519e-10,-1.4841574220810028e-08,-1.444999999989422e-08,1.4841574220810028e-08,,,,,,,,,
0.00923,-7.830166561564488e-10,-1.4851424718660692e-08,-1.44599999998941e-08,1.4851424718660692e-08,,,,,,,,,
0.009235,-7.827176046970883e-10,-1.4861275193129102e-08,-1.4469999999893978e-08,1.4861275193129102e-08,,,,,,,,,
0.00924,-7.824185064755749e-10,-1.48711256442165e-08,-1.4479999999893857e-08,1.48711256442165e-08,,,,,,,,,
0.009245,-7.821193614943136e-10,-1.4880976071923993e-08,-1.4489999999893736e-08,1.4880976071923993e-08,,,,,,,,,
0.00925,-7.818201697556544e-10,-1.4890826476252738e-08,-1.4499999999893615e-08,1.4890826476252738e-08,,,,,,,,,
0.009255,-7.815209312617993e-10,-1.490067685720396e-08,-1.4509999999893494e-08,1.490067685720396e-08,,,,,,,,,
0.009260000000000001,-7.812216460153066e-10,-1.4910527214778745e-08,-1.4519999999893373e-08,1.4910527214778745e-08,,,,,,,,,
0.009265,-7.809223140183045e-10,-1.4920377548978377e-08,-1.4529999999893252e-08,1.4920377548978377e-08,,,,,,,,,
0.00927,-7.806229352734157e-10,-1.4930227859803933e-08,-1.4539999999893131e-08,1.4930227859803933e-08,,,,,,,,,
0.009275,-7.803235097827861e-10,-1.494007814725672e-08,-1.454999999989301e-08,1.494007814725672e-08,,,,,,,,,
0.00928,-7.800240375489987e-10,-1.4949928411337852e-08,-1.455999999989289e-08,1.4949928411337852e-08,,,,,,,,,
0.009285,-7.797245185744296e-10,-1.4959778652048562e-08,-1.4569999999892768e-08,1.4959778652048562e-08,,,,,,,,,
0.00929,-7.794249528613384e-10,-1.496962886939013e-08,-1.4579999999892647e-08,1.496962886939013e-08,,,,,,,,,
0.009295,-7.791253404124708e-10,-1.4979479063363638e-08,-1.4589999999892526e-08,1.4979479063363638e-08,,,,,,,,,
0.009300000000000001,-7.788256812300734e-10,-1.498932923397041e-08,-1.4599999999892405e-08,1.498932923397041e-08,,,,,,,,,
0.009305,-7.785259753165751e-10,-1.4999179381211693e-08,-1.4609999999892284e-08,1.4999179381211693e-08,,,,,,,,,
0.00931,-7.782262226746187e-10,-1.5009029505088646e-08,-1.4619999999892163e-08,1.5009029505088646e-08,,,,,,,,,
0.009315,-7.779264233065174e-10,-1.50188796056026e-08,-1.4629999999892042e-08,1.50188796056026e-08,,,,,,,,,
0.00932,-7.776265772149492e-10,-1.5028729682754717e-08,-1.4639999999891921e-08,1.5028729682754717e-08,,,,,,,,,
0.009325,-7.773266844022544e-10,-1.503857973654634e-08,-1.46499999998918e-08,1.503857973654634e-08,,,,,,,,,
0.00933,-7.770267448710897e-10,-1.504842976697867e-08,-1.465999999989168e-08,1.504842976697867e-08,,,,,,,,,
0.009335,-7.767267586239475e-10,-1.5058279774052997e-08,-1.4669999999891558e-08,1.5058279774052997e-08,,,,,,,,,
0.00934,-7.764267256633196e-10,-1.506812975777062e-08,-1.4679999999891437e-08,1.506812975777062e-08,,,,,,,,,
0.009345000000000001,-7.761266459919094e-10,-1.507797971813276e-08,-1.4689999999891316e-08,1.507797971813276e-08,,,,,,,,,
0.00935,-7.758265196121102e-10,-1.5087829655140787e-08,-1.4699999999891195e-08,1.5087829655140787e-08,,,,,,,,,
0.009355,-7.755263465267234e-10,-1.5097679568795893e-08,-1.4709999999891074e-08,1.5097679568795893e-08,,,,,,,,,
0.00936,-7.752261267380907e-10,-1.5107529459099495e-08,-1.4719999999890953e-08,1.5107529459099495e-08,,,,,,,,,
0.009365,-7.749258602490713e-10,-1.5117379326052784e-08,-1.4729999999890832e-08,1.5117379326052784e-08,,,,,,,,,
0.00937,-7.746255470621128e-10,-1.5127229169657153e-08,-1.4739999999890711e-08,1.5127229169657153e-08,,,,,,,,,
0.009375,-7.743251871799417e-10,-1.5137078989913876e-08,-1.474999999989059e-08,1.5137078989913876e-08,,,,,,,,,
0.00938,-7.740247806051689e-10,-1.514692878682429e-08,-1.475999999989047e-08,1.514692878682429e-08,,,,,,,,,
0.009385000000000001,-7.737243273404612e-10,-1.5156778560389722e-08,-1.4769999999890348e-08,1.5156778560389722e-08,,,,,,,,,
0.00939,-7.73423827388465e-10,-1.5166628310611515e-08,-1.4779999999890227e-08,1.5166628310611515e-08,,,,,,,,,
0.009395,-7.731232807518896e-10,-1.5176478037490995e-08,-1.4789999999890106e-08,1.5176478037490995e-08,,,,,,,,,
0.0094,-7.728226874334528e-10,-1.51863277410295e-08,-1.4799999999889985e-08,1.51863277410295e-08,,,,,,,,,
0.009405,-7.725220474357374e-10,-1.5196177421228435e-08,-1.4809999999889864e-08,1.5196177421228435e-08,,,,,,,,,
0.00941,-7.722213607616337e-10,-1.520602707808908e-08,-1.4819999999889743e-08,1.520602707808908e-08,,,,,,,,,
0.009415,-7.719206274137175e-10,-1.5215876711612862e-08,-1.4829999999889622e-08,1.5215876711612862e-08,,,,,,,,,
0.00942,-7.716198473948356e-10,-1.5225726321801107e-08,-1.4839999999889501e-08,1.5225726321801107e-08,,,,,,,,,
0.009425,-7.713190207076618e-10,-1.523557590865522e-08,-1.484999999988938e-08,1.523557590865522e-08,,,,,,,,,
0.009430000000000001,-7.71018147355013e-10,-1.524542547217656e-08,-1.4859999999889259e-08,1.524542547217656e-08,,,,,,,,,
0.009435,-7.707172273396065e-10,-1.5255275012366534e-08,-1.4869999999889138e-08,1.5255275012366534e-08,,,,,,,,,
0.00944,-7.704162606642689e-10,-1.5265124529226514e-08,-1.4879999999889017e-08,1.5265124529226514e-08,,,,,,,,,
0.009445,-7.701152473317849e-10,-1.5274974022757907e-08,-1.4889999999888896e-08,1.5274974022757907e-08,,,,,,,,,
0.00945,-7.698141873449361e-10,-1.528482349296212e-08,-1.4899999999888775e-08,1.528482349296212e-08,,,,,,,,,
0.009455,-7.695130807065785e-10,-1.529467293984055e-08,-1.4909999999888654e-08,1.529467293984055e-08,,,,,,,,,
0.00946,-7.692119274195321e-10,-1.530452236339461e-08,-1.4919999999888533e-08,1.530452236339461e-08,,,,,,,,,
0.009465,-7.689107274865715e-10,-1.5314371763625752e-08,-1.4929999999888412e-08,1.5314371763625752e-08,,,,,,,,,
0.009470000000000001,-7.68609480910698e-10,-1.5324221140535332e-08,-1.493999999988829e-08,1.5324221140535332e-08,,,,,,,,,
0.009475,-7.683081876945329e-10,-1.5334070494124885e-08,-1.494999999988817e-08,1.5334070494124885e-08,,,,,,,,,
0.00948,-7.680068478412426e-10,-1.534391982439572e-08,-1.495999999988805e-08,1.534391982439572e-08,,,,,,,,,
0.009485,-7.677054613534325e-10,-1.5353769131349395e-08,-1.4969999999887928e-08,1.5353769131349395e-08,,,,,,,,,
0.00949,-7.674040282342142e-10,-1.5363618414987267e-08,-1.4979999999887807e-08,1.5363618414987267e-08,,,,,,,,,
0.009495,-7.671025484862991e-10,-1.5373467675310872e-08,-1.4989999999887686e-08,1.5373467675310872e-08,,,,,,,,,
0.0095,-7.66801022112839e-10,-1.538331691232156e-08,-1.4999999999887565e-08,1.538331691232156e-08,,,,,,,,,
0.009505,-7.664994491164671e-10,-1.5393166126020928e-08,-1.5009999999887444e-08,1.5393166126020928e-08,,,,,,,,,
0.00951,-7.66197829500391e-10,-1.5403015316410316e-08,-1.5019999999887323e-08,1.5403015316410316e-08,,,,,,,,,
0.009515000000000001,-7.65896163267363e-10,-1.5412864483491293e-08,-1.5029999999887202e-08,1.5412864483491293e-08,,,,,,,,,
0.00952,-7.655944504205022e-10,-1.542271362726526e-08,-1.503999999988708e-08,1.542271362726526e-08,,,,,,,,,
0.009525,-7.652926909626186e-10,-1.5432562747733775e-08,-1.504999999988696e-08,1.5432562747733775e-08,,,,,,,,,
0.00953,-7.649908848967875e-10,-1.544241184489828e-08,-1.505999999988684e-08,1.544241184489828e-08,,,,,,,,,
0.009535,-7.646890322260212e-10,-1.5452260918760265e-08,-1.5069999999886718e-08,1.5452260918760265e-08,,,,,,,,,
0.00954,-7.643871329531923e-10,-1.5462109969321282e-08,-1.5079999999886597e-08,1.5462109969321282e-08,,,,,,,,,
0.009545,-7.640851870814887e-10,-1.5471958996582756e-08,-1.5089999999886476e-08,1.5471958996582756e-08,,,,,,,,,
0.00955,-7.63783194613768e-10,-1.5481808000546274e-08,-1.5099999999886355e-08,1.5481808000546274e-08,,,,,,,,,
0.009555000000000001,-7.634811555531353e-10,-1.5491656981213313e-08,-1.5109999999886234e-08,1.5491656981213313e-08,,,,,,,,,
